taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
194,0,215,21504,URMA_WRITE,7,100ns,0,
195,0,216,64512,URMA_WRITE,7,100ns,0,
196,0,217,7168,URMA_WRITE,7,100ns,0,
197,0,219,35840,URMA_WRITE,7,100ns,0,
198,0,220,7168,URMA_WRITE,7,100ns,0,
199,0,221,7168,URMA_WRITE,7,100ns,0,
200,0,222,100352,URMA_WRITE,7,100ns,0,
201,0,223,14336,URMA_WRITE,7,100ns,0,
202,0,225,14336,URMA_WRITE,7,100ns,0,
203,0,226,28672,URMA_WRITE,7,100ns,0,
204,0,227,21504,URMA_WRITE,7,100ns,0,
205,0,230,7168,URMA_WRITE,7,100ns,0,
206,0,231,93184,URMA_WRITE,7,100ns,0,
207,0,232,7168,URMA_WRITE,7,100ns,0,
208,0,233,7168,URMA_WRITE,7,100ns,0,
209,0,234,35840,URMA_WRITE,7,100ns,0,
210,0,235,121856,URMA_WRITE,7,100ns,0,
211,0,236,50176,URMA_WRITE,7,100ns,0,
212,0,237,21504,URMA_WRITE,7,100ns,0,
213,0,238,150528,URMA_WRITE,7,100ns,0,
214,0,239,14336,URMA_WRITE,7,100ns,0,
215,0,240,50176,URMA_WRITE,7,100ns,0,
216,0,241,21504,URMA_WRITE,7,100ns,0,
217,0,242,50176,URMA_WRITE,7,100ns,0,
218,0,243,28672,URMA_WRITE,7,100ns,0,
219,0,244,50176,URMA_WRITE,7,100ns,0,
220,0,245,28672,URMA_WRITE,7,100ns,0,
221,0,246,43008,URMA_WRITE,7,100ns,0,
222,0,247,50176,URMA_WRITE,7,100ns,0,
223,0,248,14336,URMA_WRITE,7,100ns,0,
224,0,249,7168,URMA_WRITE,7,100ns,0,
225,0,250,21504,URMA_WRITE,7,100ns,0,
226,0,251,14336,URMA_WRITE,7,100ns,0,
227,0,252,7168,URMA_WRITE,7,100ns,0,
228,0,253,7168,URMA_WRITE,7,100ns,0,
229,0,254,28672,URMA_WRITE,7,100ns,0,
230,0,255,14336,URMA_WRITE,7,100ns,0,
231,1,0,14336,URMA_WRITE,7,100ns,0,
232,1,2,7168,URMA_WRITE,7,100ns,0,
233,1,3,114688,URMA_WRITE,7,100ns,0,
234,1,4,50176,URMA_WRITE,7,100ns,0,
235,1,5,35840,URMA_WRITE,7,100ns,0,
236,1,6,93184,URMA_WRITE,7,100ns,0,
237,1,7,21504,URMA_WRITE,7,100ns,0,
238,1,8,50176,URMA_WRITE,7,100ns,0,
239,1,9,21504,URMA_WRITE,7,100ns,0,
240,1,10,43008,URMA_WRITE,7,100ns,0,
241,1,11,150528,URMA_WRITE,7,100ns,0,
242,1,12,78848,URMA_WRITE,7,100ns,0,
243,1,13,43008,URMA_WRITE,7,100ns,0,
244,1,14,57344,URMA_WRITE,7,100ns,0,
245,1,15,57344,URMA_WRITE,7,100ns,0,
246,1,16,14336,URMA_WRITE,7,100ns,0,
247,1,18,14336,URMA_WRITE,7,100ns,0,
248,1,19,21504,URMA_WRITE,7,100ns,0,
249,1,20,93184,URMA_WRITE,7,100ns,0,
250,1,21,28672,URMA_WRITE,7,100ns,0,
251,1,22,21504,URMA_WRITE,7,100ns,0,
252,1,23,100352,URMA_WRITE,7,100ns,0,
253,1,25,64512,URMA_WRITE,7,100ns,0,
254,1,26,7168,URMA_WRITE,7,100ns,0,
255,1,27,7168,URMA_WRITE,7,100ns,0,
256,1,28,43008,URMA_WRITE,7,100ns,0,
257,1,29,7168,URMA_WRITE,7,100ns,0,
258,1,30,14336,URMA_WRITE,7,100ns,0,
259,1,31,7168,URMA_WRITE,7,100ns,0,
260,1,32,43008,URMA_WRITE,7,100ns,0,
261,1,33,35840,URMA_WRITE,7,100ns,0,
262,1,34,28672,URMA_WRITE,7,100ns,0,
263,1,36,7168,URMA_WRITE,7,100ns,0,
264,1,37,35840,URMA_WRITE,7,100ns,0,
265,1,38,14336,URMA_WRITE,7,100ns,0,
266,1,39,64512,URMA_WRITE,7,100ns,0,
267,1,40,179200,URMA_WRITE,7,100ns,0,
268,1,41,21504,URMA_WRITE,7,100ns,0,
269,1,42,21504,URMA_WRITE,7,100ns,0,
270,1,43,64512,URMA_WRITE,7,100ns,0,
271,1,44,35840,URMA_WRITE,7,100ns,0,
272,1,45,93184,URMA_WRITE,7,100ns,0,
273,1,46,57344,URMA_WRITE,7,100ns,0,
274,1,47,14336,URMA_WRITE,7,100ns,0,
275,1,48,21504,URMA_WRITE,7,100ns,0,
276,1,49,43008,URMA_WRITE,7,100ns,0,
277,1,50,57344,URMA_WRITE,7,100ns,0,
278,1,51,21504,URMA_WRITE,7,100ns,0,
279,1,52,21504,URMA_WRITE,7,100ns,0,
280,1,54,28672,URMA_WRITE,7,100ns,0,
281,1,55,143360,URMA_WRITE,7,100ns,0,
282,1,56,21504,URMA_WRITE,7,100ns,0,
283,1,57,7168,URMA_WRITE,7,100ns,0,
284,1,58,14336,URMA_WRITE,7,100ns,0,
285,1,59,28672,URMA_WRITE,7,100ns,0,
286,1,60,43008,URMA_WRITE,7,100ns,0,
287,1,61,179200,URMA_WRITE,7,100ns,0,
288,1,63,21504,URMA_WRITE,7,100ns,0,
289,1,64,100352,URMA_WRITE,7,100ns,0,
290,1,65,7168,URMA_WRITE,7,100ns,0,
291,1,66,7168,URMA_WRITE,7,100ns,0,
292,1,67,7168,URMA_WRITE,7,100ns,0,
293,1,69,21504,URMA_WRITE,7,100ns,0,
294,1,70,28672,URMA_WRITE,7,100ns,0,
295,1,71,64512,URMA_WRITE,7,100ns,0,
296,1,72,21504,URMA_WRITE,7,100ns,0,
297,1,74,28672,URMA_WRITE,7,100ns,0,
298,1,76,7168,URMA_WRITE,7,100ns,0,
299,1,77,21504,URMA_WRITE,7,100ns,0,
300,1,78,86016,URMA_WRITE,7,100ns,0,
301,1,79,93184,URMA_WRITE,7,100ns,0,
302,1,81,7168,URMA_WRITE,7,100ns,0,
303,1,82,14336,URMA_WRITE,7,100ns,0,
304,1,83,14336,URMA_WRITE,7,100ns,0,
305,1,84,43008,URMA_WRITE,7,100ns,0,
306,1,85,7168,URMA_WRITE,7,100ns,0,
307,1,86,14336,URMA_WRITE,7,100ns,0,
308,1,87,35840,URMA_WRITE,7,100ns,0,
309,1,88,43008,URMA_WRITE,7,100ns,0,
310,1,89,14336,URMA_WRITE,7,100ns,0,
311,1,90,136192,URMA_WRITE,7,100ns,0,
312,1,91,7168,URMA_WRITE,7,100ns,0,
313,1,93,28672,URMA_WRITE,7,100ns,0,
314,1,94,14336,URMA_WRITE,7,100ns,0,
315,1,95,28672,URMA_WRITE,7,100ns,0,
316,1,96,7168,URMA_WRITE,7,100ns,0,
317,1,97,7168,URMA_WRITE,7,100ns,0,
318,1,98,50176,URMA_WRITE,7,100ns,0,
319,1,100,14336,URMA_WRITE,7,100ns,0,
320,1,101,35840,URMA_WRITE,7,100ns,0,
321,1,102,21504,URMA_WRITE,7,100ns,0,
322,1,103,28672,URMA_WRITE,7,100ns,0,
323,1,104,21504,URMA_WRITE,7,100ns,0,
324,1,105,28672,URMA_WRITE,7,100ns,0,
325,1,106,43008,URMA_WRITE,7,100ns,0,
326,1,107,7168,URMA_WRITE,7,100ns,0,
327,1,108,28672,URMA_WRITE,7,100ns,0,
328,1,109,7168,URMA_WRITE,7,100ns,0,
329,1,110,14336,URMA_WRITE,7,100ns,0,
330,1,111,35840,URMA_WRITE,7,100ns,0,
331,1,112,78848,URMA_WRITE,7,100ns,0,
332,1,114,21504,URMA_WRITE,7,100ns,0,
333,1,115,14336,URMA_WRITE,7,100ns,0,
334,1,116,7168,URMA_WRITE,7,100ns,0,
335,1,117,28672,URMA_WRITE,7,100ns,0,
336,1,119,93184,URMA_WRITE,7,100ns,0,
337,1,120,28672,URMA_WRITE,7,100ns,0,
338,1,121,21504,URMA_WRITE,7,100ns,0,
339,1,122,43008,URMA_WRITE,7,100ns,0,
340,1,123,57344,URMA_WRITE,7,100ns,0,
341,1,124,28672,URMA_WRITE,7,100ns,0,
342,1,125,14336,URMA_WRITE,7,100ns,0,
343,1,126,35840,URMA_WRITE,7,100ns,0,
344,1,127,14336,URMA_WRITE,7,100ns,0,
345,1,128,14336,URMA_WRITE,7,100ns,0,
346,1,129,64512,URMA_WRITE,7,100ns,0,
347,1,130,14336,URMA_WRITE,7,100ns,0,
348,1,131,43008,URMA_WRITE,7,100ns,0,
349,1,133,21504,URMA_WRITE,7,100ns,0,
350,1,134,71680,URMA_WRITE,7,100ns,0,
351,1,135,21504,URMA_WRITE,7,100ns,0,
352,1,136,14336,URMA_WRITE,7,100ns,0,
353,1,137,71680,URMA_WRITE,7,100ns,0,
354,1,138,28672,URMA_WRITE,7,100ns,0,
355,1,139,21504,URMA_WRITE,7,100ns,0,
356,1,140,28672,URMA_WRITE,7,100ns,0,
357,1,141,43008,URMA_WRITE,7,100ns,0,
358,1,142,86016,URMA_WRITE,7,100ns,0,
359,1,143,28672,URMA_WRITE,7,100ns,0,
360,1,144,28672,URMA_WRITE,7,100ns,0,
361,1,145,71680,URMA_WRITE,7,100ns,0,
362,1,147,14336,URMA_WRITE,7,100ns,0,
363,1,148,7168,URMA_WRITE,7,100ns,0,
364,1,149,7168,URMA_WRITE,7,100ns,0,
365,1,151,7168,URMA_WRITE,7,100ns,0,
366,1,152,21504,URMA_WRITE,7,100ns,0,
367,1,153,14336,URMA_WRITE,7,100ns,0,
368,1,154,35840,URMA_WRITE,7,100ns,0,
369,1,155,35840,URMA_WRITE,7,100ns,0,
370,1,156,35840,URMA_WRITE,7,100ns,0,
371,1,157,35840,URMA_WRITE,7,100ns,0,
372,1,158,21504,URMA_WRITE,7,100ns,0,
373,1,159,7168,URMA_WRITE,7,100ns,0,
374,1,161,7168,URMA_WRITE,7,100ns,0,
375,1,162,14336,URMA_WRITE,7,100ns,0,
376,1,163,43008,URMA_WRITE,7,100ns,0,
377,1,164,21504,URMA_WRITE,7,100ns,0,
378,1,165,7168,URMA_WRITE,7,100ns,0,
379,1,167,50176,URMA_WRITE,7,100ns,0,
380,1,168,28672,URMA_WRITE,7,100ns,0,
381,1,169,28672,URMA_WRITE,7,100ns,0,
382,1,170,14336,URMA_WRITE,7,100ns,0,
383,1,171,57344,URMA_WRITE,7,100ns,0,
384,1,172,50176,URMA_WRITE,7,100ns,0,
385,1,173,14336,URMA_WRITE,7,100ns,0,
386,1,174,57344,URMA_WRITE,7,100ns,0,
387,1,175,14336,URMA_WRITE,7,100ns,0,
388,1,176,7168,URMA_WRITE,7,100ns,0,
389,1,177,21504,URMA_WRITE,7,100ns,0,
390,1,178,57344,URMA_WRITE,7,100ns,0,
391,1,179,43008,URMA_WRITE,7,100ns,0,
392,1,180,21504,URMA_WRITE,7,100ns,0,
393,1,181,86016,URMA_WRITE,7,100ns,0,
394,1,182,35840,URMA_WRITE,7,100ns,0,
395,1,183,43008,URMA_WRITE,7,100ns,0,
396,1,184,7168,URMA_WRITE,7,100ns,0,
397,1,185,21504,URMA_WRITE,7,100ns,0,
398,1,186,14336,URMA_WRITE,7,100ns,0,
399,1,187,57344,URMA_WRITE,7,100ns,0,
400,1,188,14336,URMA_WRITE,7,100ns,0,
401,1,189,28672,URMA_WRITE,7,100ns,0,
402,1,191,50176,URMA_WRITE,7,100ns,0,
403,1,193,28672,URMA_WRITE,7,100ns,0,
404,1,194,64512,URMA_WRITE,7,100ns,0,
405,1,195,21504,URMA_WRITE,7,100ns,0,
406,1,196,21504,URMA_WRITE,7,100ns,0,
407,1,197,28672,URMA_WRITE,7,100ns,0,
408,1,198,57344,URMA_WRITE,7,100ns,0,
409,1,199,7168,URMA_WRITE,7,100ns,0,
410,1,201,143360,URMA_WRITE,7,100ns,0,
411,1,202,7168,URMA_WRITE,7,100ns,0,
412,1,203,7168,URMA_WRITE,7,100ns,0,
413,1,204,28672,URMA_WRITE,7,100ns,0,
414,1,205,14336,URMA_WRITE,7,100ns,0,
415,1,206,28672,URMA_WRITE,7,100ns,0,
416,1,207,35840,URMA_WRITE,7,100ns,0,
417,1,208,28672,URMA_WRITE,7,100ns,0,
418,1,209,14336,URMA_WRITE,7,100ns,0,
419,1,210,28672,URMA_WRITE,7,100ns,0,
420,1,211,93184,URMA_WRITE,7,100ns,0,
421,1,212,14336,URMA_WRITE,7,100ns,0,
422,1,213,14336,URMA_WRITE,7,100ns,0,
423,1,214,35840,URMA_WRITE,7,100ns,0,
424,1,215,93184,URMA_WRITE,7,100ns,0,
425,1,216,50176,URMA_WRITE,7,100ns,0,
426,1,217,7168,URMA_WRITE,7,100ns,0,
427,1,218,7168,URMA_WRITE,7,100ns,0,
428,1,219,21504,URMA_WRITE,7,100ns,0,
429,1,220,7168,URMA_WRITE,7,100ns,0,
430,1,221,14336,URMA_WRITE,7,100ns,0,
431,1,222,129024,URMA_WRITE,7,100ns,0,
432,1,223,7168,URMA_WRITE,7,100ns,0,
433,1,225,14336,URMA_WRITE,7,100ns,0,
434,1,226,71680,URMA_WRITE,7,100ns,0,
435,1,227,50176,URMA_WRITE,7,100ns,0,
436,1,228,7168,URMA_WRITE,7,100ns,0,
437,1,229,28672,URMA_WRITE,7,100ns,0,
438,1,230,14336,URMA_WRITE,7,100ns,0,
439,1,231,78848,URMA_WRITE,7,100ns,0,
440,1,232,28672,URMA_WRITE,7,100ns,0,
441,1,233,7168,URMA_WRITE,7,100ns,0,
442,1,234,86016,URMA_WRITE,7,100ns,0,
443,1,235,35840,URMA_WRITE,7,100ns,0,
444,1,236,50176,URMA_WRITE,7,100ns,0,
445,1,237,21504,URMA_WRITE,7,100ns,0,
446,1,238,71680,URMA_WRITE,7,100ns,0,
447,1,239,7168,URMA_WRITE,7,100ns,0,
448,1,240,35840,URMA_WRITE,7,100ns,0,
449,1,241,7168,URMA_WRITE,7,100ns,0,
450,1,242,28672,URMA_WRITE,7,100ns,0,
451,1,243,50176,URMA_WRITE,7,100ns,0,
452,1,244,28672,URMA_WRITE,7,100ns,0,
453,1,245,28672,URMA_WRITE,7,100ns,0,
454,1,246,14336,URMA_WRITE,7,100ns,0,
455,1,247,43008,URMA_WRITE,7,100ns,0,
456,1,248,7168,URMA_WRITE,7,100ns,0,
457,1,250,35840,URMA_WRITE,7,100ns,0,
458,1,251,7168,URMA_WRITE,7,100ns,0,
459,1,252,21504,URMA_WRITE,7,100ns,0,
460,1,253,14336,URMA_WRITE,7,100ns,0,
461,1,254,28672,URMA_WRITE,7,100ns,0,
462,1,255,28672,URMA_WRITE,7,100ns,0,
463,2,0,14336,URMA_WRITE,7,100ns,0,
464,2,1,35840,URMA_WRITE,7,100ns,0,
465,2,3,129024,URMA_WRITE,7,100ns,0,
466,2,4,28672,URMA_WRITE,7,100ns,0,
467,2,5,21504,URMA_WRITE,7,100ns,0,
468,2,6,100352,URMA_WRITE,7,100ns,0,
469,2,7,7168,URMA_WRITE,7,100ns,0,
470,2,8,64512,URMA_WRITE,7,100ns,0,
471,2,9,28672,URMA_WRITE,7,100ns,0,
472,2,10,14336,URMA_WRITE,7,100ns,0,
473,2,11,71680,URMA_WRITE,7,100ns,0,
474,2,12,93184,URMA_WRITE,7,100ns,0,
475,2,13,21504,URMA_WRITE,7,100ns,0,
476,2,14,43008,URMA_WRITE,7,100ns,0,
477,2,15,35840,URMA_WRITE,7,100ns,0,
478,2,16,28672,URMA_WRITE,7,100ns,0,
479,2,18,21504,URMA_WRITE,7,100ns,0,
480,2,19,21504,URMA_WRITE,7,100ns,0,
481,2,20,57344,URMA_WRITE,7,100ns,0,
482,2,21,14336,URMA_WRITE,7,100ns,0,
483,2,22,7168,URMA_WRITE,7,100ns,0,
484,2,23,114688,URMA_WRITE,7,100ns,0,
485,2,25,64512,URMA_WRITE,7,100ns,0,
486,2,26,21504,URMA_WRITE,7,100ns,0,
487,2,27,14336,URMA_WRITE,7,100ns,0,
488,2,28,64512,URMA_WRITE,7,100ns,0,
489,2,29,28672,URMA_WRITE,7,100ns,0,
490,2,30,35840,URMA_WRITE,7,100ns,0,
491,2,31,21504,URMA_WRITE,7,100ns,0,
492,2,32,14336,URMA_WRITE,7,100ns,0,
493,2,33,35840,URMA_WRITE,7,100ns,0,
494,2,34,43008,URMA_WRITE,7,100ns,0,
495,2,35,21504,URMA_WRITE,7,100ns,0,
496,2,37,50176,URMA_WRITE,7,100ns,0,
497,2,38,14336,URMA_WRITE,7,100ns,0,
498,2,39,57344,URMA_WRITE,7,100ns,0,
499,2,40,164864,URMA_WRITE,7,100ns,0,
500,2,41,7168,URMA_WRITE,7,100ns,0,
501,2,42,14336,URMA_WRITE,7,100ns,0,
502,2,43,93184,URMA_WRITE,7,100ns,0,
503,2,44,21504,URMA_WRITE,7,100ns,0,
504,2,45,93184,URMA_WRITE,7,100ns,0,
505,2,46,50176,URMA_WRITE,7,100ns,0,
506,2,48,21504,URMA_WRITE,7,100ns,0,
507,2,49,50176,URMA_WRITE,7,100ns,0,
508,2,50,35840,URMA_WRITE,7,100ns,0,
509,2,51,14336,URMA_WRITE,7,100ns,0,
510,2,52,21504,URMA_WRITE,7,100ns,0,
511,2,54,21504,URMA_WRITE,7,100ns,0,
512,2,55,100352,URMA_WRITE,7,100ns,0,
513,2,56,14336,URMA_WRITE,7,100ns,0,
514,2,57,7168,URMA_WRITE,7,100ns,0,
